artists_id,acousticness,danceability,disc_number,duration_ms,energy,href,id,instrumentalness,key,liveness,loudness,mode,name,playlist,popularity,preview_url,speechiness,tempo,time_signature,track_href,uri,valence,release_date,artists_name,genres,release_year
2x9SpqnPi8rlE9pjHBwmSC,0.216,0.637,1.0,240960.0,0.851,https://api.spotify.com/v1/tracks/2WDvW3o8WeGN4v4cpsYVhT,2WDvW3o8WeGN4v4cpsYVhT,0.0365,9.0,0.68,-8.127,0.0,Slippery People - Live,The '80s All Lined Up,56.0,https://p.scdn.co/mp3-preview/eca47150e9c248239dfce77dfa8437ba986c6c7d?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0437,110.892,4.0,https://api.spotify.com/v1/tracks/2WDvW3o8WeGN4v4cpsYVhT,2WDvW3o8WeGN4v4cpsYVhT,0.84,1984,Talking Heads,"['art rock', 'dance rock', 'folk rock', 'new wave', 'permanent wave', 'post-punk', 'rock', 'zolo']",1984.0
0N5PyKJzS3M1XNlaCL7bbE,0.31,0.647,1.0,178586.0,0.388,https://api.spotify.com/v1/tracks/5Ju2ZF0o78C89oFrAhvDIC,5Ju2ZF0o78C89oFrAhvDIC,0.000701,2.0,0.792,-11.92,1.0,634-5789,Digitando...,31.0,https://p.scdn.co/mp3-preview/5e88fccdf667cfb9ce7a8fdf6b762cd5d16307a9?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0407,103.246,4.0,https://api.spotify.com/v1/tracks/5Ju2ZF0o78C89oFrAhvDIC,5Ju2ZF0o78C89oFrAhvDIC,0.765,1966,Wilson Pickett,"['adult standards', 'brill building pop', 'christmas', 'classic rock', 'classic soul', 'disco', 'folk rock', 'funk', 'memphis soul', 'motown', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul', 'southern soul']",1966.0
74ASZWbe4lXaubB36ztrGX,0.599,0.572,1.0,353760.0,0.879,https://api.spotify.com/v1/tracks/4wo2eRp6aHcAlmhmfwiTAH,4wo2eRp6aHcAlmhmfwiTAH,4.33e-05,10.0,0.509,-6.832,1.0,Thunder on the Mountain,Guitar Hero Live Playlist,44.0,https://p.scdn.co/mp3-preview/b85615f8d51a47199153597a6af1aee630846f1b?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0376,154.471,4.0,https://api.spotify.com/v1/tracks/4wo2eRp6aHcAlmhmfwiTAH,4wo2eRp6aHcAlmhmfwiTAH,0.854,2006-08-29,Bob Dylan,"['album rock', 'classic rock', 'folk', 'folk rock', 'folk-pop', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter']",2006.0
77tT1kLj6mCWtFNqiOmP9H,0.00206,0.602,1.0,358627.0,0.673,https://api.spotify.com/v1/tracks/1kTH8Ok1XWldpvIuzrCHFg,1kTH8Ok1XWldpvIuzrCHFg,0.000147,11.0,0.0892,-7.73,0.0,Maneater - Extended Club Mix,"12"" Classics",40.0,https://p.scdn.co/mp3-preview/a392e0304f23ad694c2504db0dc3961304b59b79?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0849,177.321,4.0,https://api.spotify.com/v1/tracks/1kTH8Ok1XWldpvIuzrCHFg,1kTH8Ok1XWldpvIuzrCHFg,0.878,2008-06-16,Daryl Hall & John Oates,"['album rock', 'folk rock', 'mellow gold', 'rock', 'soft rock']",2008.0
0nJUwPwC9Ti4vvuJ0q3MfT,0.541,0.617,1.0,224186.0,0.421,https://api.spotify.com/v1/tracks/2qWKpYIleSvBT6aUMXoia5,2qWKpYIleSvBT6aUMXoia5,0.00227,0.0,0.125,-14.231,1.0,Angel From Montgomery,Americana Roadtrip,53.0,https://p.scdn.co/mp3-preview/15b4ed729e723d3e296b4de2288bce836f688c62?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0318,131.653,4.0,https://api.spotify.com/v1/tracks/2qWKpYIleSvBT6aUMXoia5,2qWKpYIleSvBT6aUMXoia5,0.39,1971,John Prine,"['alternative country', 'country rock', 'folk', 'folk rock', 'folk-pop', 'mellow gold', 'new americana', 'outlaw country', 'rock', 'roots rock', 'singer-songwriter', 'texas country', 'traditional country', 'traditional folk']",1971.0
3BqaUtuQmqIHg7B5Bc7fP7,0.126,0.692,1.0,206800.0,0.569,https://api.spotify.com/v1/tracks/1zRtXT8ZMjathcwVY7CSQb,1zRtXT8ZMjathcwVY7CSQb,0.0,0.0,0.101,-13.246,1.0,Cruel To Be Kind,Hyväntuulista rokkia,46.0,https://p.scdn.co/mp3-preview/a7486286ffdbdcf42007fa69aaf692e9404c4b13?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0274,131.154,4.0,https://api.spotify.com/v1/tracks/1zRtXT8ZMjathcwVY7CSQb,1zRtXT8ZMjathcwVY7CSQb,0.843,1989-10-17,Nick Lowe,"['alternative country', 'art rock', 'country rock', 'folk', 'folk rock', 'jangle pop', 'power pop', 'pub rock', 'roots rock', 'singer-songwriter']",1989.0
6mcrZQmgzFGRWf7C0SObou,0.393,0.764,1.0,148013.0,0.84,https://api.spotify.com/v1/tracks/00meczE1jpLTX0BBzIGrAR,00meczE1jpLTX0BBzIGrAR,8.64e-06,2.0,0.0686,-5.023,1.0,Big Girls Don't Cry,Oldies but Goldies,58.0,https://p.scdn.co/mp3-preview/de381c1b23124bab86ee139f4a6e03f9afaf1a1a?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0672,130.276,4.0,https://api.spotify.com/v1/tracks/00meczE1jpLTX0BBzIGrAR,00meczE1jpLTX0BBzIGrAR,0.843,1962-10-01,Frankie Valli & The Four Seasons,"['adult standards', 'brill building pop', 'bubblegum pop', 'christmas', 'doo-wop', 'folk rock', 'motown', 'northern soul', 'rock-and-roll', 'rockabilly']",1962.0
6waa8mKu91GjzD4NlONlNJ,0.0241,0.629,2.0,179387.0,0.656,https://api.spotify.com/v1/tracks/50xSO1AwXGaY2p75QTx0Fb,50xSO1AwXGaY2p75QTx0Fb,0.0,0.0,0.436,-6.586,1.0,Sorry Suzanne - 2003 Remaster,Oldies but Goldies,35.0,https://p.scdn.co/mp3-preview/4226fd8d45ce2b866c77e9ce5f40d38cab8b2dab?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0292,124.034,4.0,https://api.spotify.com/v1/tracks/50xSO1AwXGaY2p75QTx0Fb,50xSO1AwXGaY2p75QTx0Fb,0.882,2012-04-23,The Hollies,"['adult standards', 'album rock', 'art rock', 'brill building pop', 'british invasion', 'bubblegum pop', 'christmas', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'merseybeat', 'psychedelic rock', 'rock', 'rock-and-roll', 'soft rock']",2012.0
16eRpMNXSQ15wuJoeqguaB,4.56e-05,0.326,1.0,258912.0,0.841,https://api.spotify.com/v1/tracks/1RZlGlz8eXT1KmJYpqFRzH,1RZlGlz8eXT1KmJYpqFRzH,0.028,0.0,0.251,-7.14,1.0,Race for the Prize,Más Motivacion,57.0,https://p.scdn.co/mp3-preview/c06cfd11ea42e5dd212161df787e660af7ba87e2?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0858,130.723,4.0,https://api.spotify.com/v1/tracks/1RZlGlz8eXT1KmJYpqFRzH,1RZlGlz8eXT1KmJYpqFRzH,0.449,1999-05-17,The Flaming Lips,"['alternative rock', 'art rock', 'experimental rock', 'folk rock', 'folk-pop', 'freak folk', 'garage rock', 'indie folk', 'indie pop', 'indie rock', 'lo-fi', 'modern rock', 'noise pop', 'ok indie', 'psychedelic rock', 'rock']",1999.0
2x9SpqnPi8rlE9pjHBwmSC,0.242,0.66,1.0,302520.0,0.485,https://api.spotify.com/v1/tracks/7fRPW34qS6KkZpMY4iBrJJ,7fRPW34qS6KkZpMY4iBrJJ,0.0102,2.0,0.0585,-8.101,1.0,Take Me to the River,Alternative 80s,20.0,https://p.scdn.co/mp3-preview/bf6cc205db5c86507b63df03b0bd8b37860a18c4?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0258,99.828,4.0,https://api.spotify.com/v1/tracks/7fRPW34qS6KkZpMY4iBrJJ,7fRPW34qS6KkZpMY4iBrJJ,0.829,2018-08-07,Talking Heads,"['art rock', 'dance rock', 'folk rock', 'new wave', 'permanent wave', 'post-punk', 'rock', 'zolo']",2018.0
4TMHGUX5WI7OOm53PqSDAT,0.0785,0.612,1.0,350862.0,0.696,https://api.spotify.com/v1/tracks/0mJQlCl9YgxW7kyeltNiVk,0mJQlCl9YgxW7kyeltNiVk,9.4e-06,11.0,0.14,-11.34,1.0,Touch of Grey - 2013 Remaster,Les Pépites du Rock,49.0,https://p.scdn.co/mp3-preview/93758c45d6dec3ab9a98e01ebcabde46efe88136?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0353,159.829,4.0,https://api.spotify.com/v1/tracks/0mJQlCl9YgxW7kyeltNiVk,0mJQlCl9YgxW7kyeltNiVk,0.849,1987,Grateful Dead,"['blues-rock', 'classic rock', 'cosmic american', 'folk rock', 'jam band', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'southern rock']",1987.0
2VL8sLEJ6lHEwocjc1pN9w,0.0154,0.514,1.0,184107.0,0.882,https://api.spotify.com/v1/tracks/4jKq3767lb2mWKCvas6E7Z,4jKq3767lb2mWKCvas6E7Z,0.0,7.0,0.389,-5.306,1.0,Here Comes My Baby,Zurück in die 60er,50.0,https://p.scdn.co/mp3-preview/9d1918c68d0b1e6bf336fa60f2e2fb8404962098?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0491,92.147,4.0,https://api.spotify.com/v1/tracks/4jKq3767lb2mWKCvas6E7Z,4jKq3767lb2mWKCvas6E7Z,0.942,1967-01-01,The Tremeloes,"['adult standards', 'brill building pop', 'british invasion', 'bubblegum pop', 'classic uk pop', 'folk rock', 'merseybeat', 'nederpop', 'rock-and-roll', 'rockabilly']",1967.0
3KGQvnOoqUHi3KxKQMZtXr,0.252,0.638,1.0,112800.0,0.428,https://api.spotify.com/v1/tracks/6RJK553YhstRzyKA4mug09,6RJK553YhstRzyKA4mug09,0.0,9.0,0.132,-12.156,0.0,The Letter,Zurück in die 60er,63.0,https://p.scdn.co/mp3-preview/29a631cf3483396dd62adedfa5845eb147e3c346?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0687,139.434,4.0,https://api.spotify.com/v1/tracks/6RJK553YhstRzyKA4mug09,6RJK553YhstRzyKA4mug09,0.901,1967,The Box Tops,"['brill building pop', 'bubblegum pop', 'folk rock', 'merseybeat']",1967.0
